id,name,country,stage,inst,since,pronouns,topics,bio,paper_cat,paper_title,paper_venue,languages
p15,Hadi Wijaya,Indonesia,Senior,Eijkman Institute,2022,he/him,TB|Methods|Vaccine,Household-based TB transmission and drug resistance in Java.,Preprint,Household transmission of regional outbreaks.,Epidemics - 2024,"EN, ID"
p16,Budi Prakoso,Indonesia,PhD,Institut Teknologi Bandung,2024,he/him,Methods,Mechanistic-machine-learning hybrids for outbreak forecasting.,Paper,Reproducible pipelines for vector-borne diseases.,BMC ID - 2025,"EN, ID"
p17,Rahmat Hidayat,Indonesia,PhD,Universitas Airlangga,2024,he/him,TB,Drug-resistant TB contact investigation strategies.,Dataset,Latent activation modelling of tropical populations.,medRxiv - 2026,"EN, ID"
p18,Nur Fadhilah,Indonesia,Postdoc,Eijkman Institute,2023,she/her,Dengue|Methods,Cross-serotype immunity and vaccine efficacy projections.,Preprint,Serotype-specific transmission of hospital settings.,Lancet Inf Dis - 2024,"EN, ID"
p19,Siti Nuraini,Indonesia,Faculty,Universitas Indonesia,2023,she/her,Zoonoses,Rabies elimination modelling in the Lesser Sunda islands.,Paper,One Health surveillance of island networks.,PLOS Comp Bio - 2025,"EN, ID"
p20,Andi Pratama,Indonesia,PhD,Universitas Gadjah Mada,2024,he/him,Methods|Vaccine,Agent-based models for island-network infectious disease spread.,Dataset,Hybrid ML methods for regional outbreaks.,Nature Comms - 2026,"EN, ID"
p21,Ratana Suwansakul,Thailand,PhD,Mahidol Oxford Tropical Medicine Research Unit,2023,she/her,Malaria|Methods,Sub-patent malaria reservoirs along the Thai–Myanmar border.,Preprint,Reactive case detection in vector-borne diseases.,Epidemics - 2024,"EN, TH"
p22,Somsak Ratanaporn,Thailand,Senior,Chulalongkorn University,2022,he/him,Zoonoses,One Health surveillance integration across Southeast Asia.,Paper,One Health surveillance of tropical populations.,BMC ID - 2025,"EN, TH"
p23,Jirapat Chinnawong,Thailand,Postdoc,Chiang Mai University,2023,she/her,Vaccine,Pertussis re-emergence and waning immunity modelling.,Dataset,Rollout strategies for hospital settings.,medRxiv - 2026,"EN, TH"
p24,Boonmee Srisuk,Thailand,Faculty,Siriraj Hospital,2023,he/him,Methods,Statistical methods for late-reported surveillance data.,Preprint,A Bayesian framework for island networks.,Lancet Inf Dis - 2024,"EN, TH"
p25,Panjai Sangkhanark,Thailand,Postdoc,Chulalongkorn University,2024,he/him,TB|Vaccine,Latent TB dynamics and ageing populations.,Paper,Drug-resistant dynamics of regional outbreaks.,PLOS Comp Bio - 2025,"EN, TH"
p26,Nguyễn Minh Anh,Viet Nam,PhD,Oxford University Clinical Research Unit,2023,she/her,Dengue,Serotype-specific dengue transmission models using hospital sero-survey data.,Dataset,Vaccination strategies for vector-borne diseases.,Nature Comms - 2026,"EN, VI"
p27,Tran Quang Huy,Viet Nam,Postdoc,Pasteur Institute HCMC,2024,he/him,Respiratory|Methods,Contact-tracing digital twins for respiratory pathogens.,Preprint,Seasonality and burden of tropical populations.,Epidemics - 2024,"EN, VI"
p28,Phạm Thị Lan,Viet Nam,Faculty,Hanoi University of Public Health,2022,she/her,Methods,Reproducible pipelines for age-structured compartmental models.,Paper,Reproducible pipelines for hospital settings.,BMC ID - 2025,"EN, VI"
p29,Linh Hoàng,Viet Nam,PhD,Hanoi Medical University,2024,she/her,Vaccine,Cost-effectiveness of rotavirus vaccine expansion.,Dataset,Rollout strategies for island networks.,medRxiv - 2026,"EN, VI"
p30,Haziq bin Ismail,Malaysia,Faculty,Universiti Malaya,2023,he/him,AMR|Methods|Vaccine,Within-host pharmacokinetics of last-line antibiotics in ICU settings.,Preprint,Pharmacokinetic modelling of regional outbreaks.,Lancet Inf Dis - 2024,"EN, MS"
p31,Zahirul Islam,Malaysia,Postdoc,Universiti Sains Malaysia,2024,he/him,AMR,Gonorrhoea antimicrobial stewardship in high-prevalence settings.,Paper,Stewardship impact on vector-borne diseases.,PLOS Comp Bio - 2025,"EN, MS"
p32,Noor Aisyah,Malaysia,PH,Ministry of Health Malaysia,2023,she/her,Zoonoses,Leptospirosis seasonal forecasting for flood-prone districts.,Dataset,Bat-origin prevalence of tropical populations.,Nature Comms - 2026,"EN, MS"
p33,Aiko Tanaka,Philippines,Postdoc,Research Institute for Tropical Medicine,2023,they/them,Respiratory|Methods,Influenza co-circulation dynamics in tropical settings post-pandemic.,Preprint,Seasonality and burden of hospital settings.,Epidemics - 2024,"EN, FIL"
p34,Carmela Santos,Philippines,Faculty,University of the Philippines Manila,2023,she/her,Vaccine,Vaccine-hesitancy spillover after the Dengvaxia controversy.,Paper,Waning immunity in island networks.,BMC ID - 2025,"EN, FIL"
p35,Maria Isabel Reyes,Philippines,PhD,Ateneo de Manila University,2024,she/her,Dengue|Vaccine,Urban mobility and dengue micro-clusters in Metro Manila.,Dataset,Vaccination strategies for regional outbreaks.,medRxiv - 2026,"EN, FIL"
p36,Aye Mon Kyaw,Myanmar,Faculty,Department of Medical Research,2024,she/her,Malaria|Methods,Reactive case detection strategies for low-transmission malaria.,Preprint,Reactive case detection in vector-borne diseases.,Lancet Inf Dis - 2024,"EN, MY"
p37,Win Htut,Myanmar,Postdoc,Oxford Myanmar Research Unit,2023,he/him,Malaria,Forest-fringe malaria and mobile population dynamics.,Paper,Sub-patent reservoirs of tropical populations.,PLOS Comp Bio - 2025,"EN, MY"
p38,Sok Pisey,Cambodia,PhD,Institut Pasteur du Cambodge,2024,she/her,Zoonoses,Bat-origin coronavirus spillover risk across the Mekong basin.,Dataset,Bat-origin prevalence of hospital settings.,Nature Comms - 2026,"EN, KM"
p39,Khamla Vongpha,Laos,Faculty,Lao Tropical & Public Health Institute,2023,he/him,Malaria|Methods,Artemisinin resistance surveillance across Greater Mekong.,Preprint,Reactive case detection in island networks.,Epidemics - 2024,"EN, LO"
